Date,TSLA,NIO,RIVN,LCID,F,GM,BYDDF,XPEV
2022-01-03 00:00:00-05:00,399.9266662597656,33.470001220703125,102.72000122070312,40.93000030517578,17.83130645751953,59.62995147705078,34.24869155883789,50.27000045776367
2022-01-04 00:00:00-05:00,383.1966552734375,31.579999923706055,101.38999938964844,39.40999984741211,19.911762237548828,64.08489227294922,33.95479965209961,47.599998474121094
2022-01-05 00:00:00-05:00,362.7066650390625,29.8799991607666,90.01000213623047,36.68000030517578,19.37936019897461,61.16042709350586,31.446882247924805,46.11000061035156
2022-01-06 00:00:00-05:00,354.8999938964844,29.309999465942383,87.33000183105469,38.220001220703125,20.034622192382812,61.287147521972656,31.162784576416016,46.65999984741211
2022-01-07 00:00:00-05:00,342.32000732421875,29.299999237060547,86.27999877929688,41.97999954223633,20.018238067626953,60.7022590637207,30.9080753326416,45.04999923706055
2022-01-10 00:00:00-05:00,352.7066650390625,28.90999984741211,81.44000244140625,41.720001220703125,19.53498649597168,59.532474517822266,30.026386260986328,42.630001068115234
2022-01-11 00:00:00-05:00,354.79998779296875,30.020000457763672,83.55000305175781,45.470001220703125,19.94452476501465,59.91264343261719,31.182376861572266,45.7599983215332
2022-01-12 00:00:00-05:00,368.739990234375,31.68000030517578,86.4800033569336,45.43000030517578,20.042814254760742,59.493473052978516,33.13188934326172,48.380001068115234
2022-01-13 00:00:00-05:00,343.85333251953125,30.479999542236328,80.30999755859375,41.40999984741211,20.49330711364746,60.21485137939453,32.49510955810547,47.52000045776367
2022-01-14 00:00:00-05:00,349.8699951171875,30.950000762939453,79.94999694824219,42.220001220703125,20.632549285888672,59.56171417236328,33.25924301147461,49.689998626708984
2022-01-18 00:00:00-05:00,343.5033264160156,29.610000610351562,73.16000366210938,39.209999084472656,19.969099044799805,57.30987548828125,33.171077728271484,47.31999969482422
2022-01-19 00:00:00-05:00,331.8833312988281,28.6299991607666,69.4000015258789,40.029998779296875,18.388277053833008,54.82407760620117,32.005287170410156,43.79999923706055
2022-01-20 00:00:00-05:00,332.0899963378906,29.1299991607666,65.0199966430664,38.720001220703125,17.733015060424805,53.274105072021484,32.81840133666992,44.61000061035156
2022-01-21 00:00:00-05:00,314.6333312988281,27.350000381469727,64.51000213623047,37.75,16.913938522338867,51.9385986328125,31.936710357666016,41.810001373291016
2022-01-24 00:00:00-05:00,310.0,24.8700008392334,63.900001525878906,37.75,16.700977325439453,51.31471252441406,30.300689697265625,39.9900016784668
2022-01-25 00:00:00-05:00,306.1333312988281,23.790000915527344,59.61000061035156,35.459999084472656,16.365156173706055,50.59333801269531,30.379060745239258,38.0099983215332
2022-01-26 00:00:00-05:00,312.4700012207031,22.65999984741211,60.27000045776367,33.40999984741211,16.307825088500977,51.03200912475586,30.594585418701172,37.29999923706055
2022-01-27 00:00:00-05:00,276.3666687011719,21.110000610351562,53.939998626708984,28.700000762939453,16.012954711914062,50.154666900634766,30.1733341217041,32.61000061035156
2022-01-28 00:00:00-05:00,282.1166687011719,20.899999618530273,57.119998931884766,27.149999618530273,16.087053298950195,48.975135803222656,27.73399543762207,32.150001525878906
2022-01-31 00:00:00-05:00,312.239990234375,24.510000228881836,65.73999786376953,29.389999389648438,16.712751388549805,51.40243911743164,29.105510711669922,35.09000015258789
2022-02-01 00:00:00-05:00,310.4166564941406,24.84000015258789,69.62000274658203,29.959999084472656,17.00913429260254,52.708709716796875,29.272050857543945,36.400001525878906
2022-02-02 00:00:00-05:00,301.88665771484375,23.760000228881836,64.31999969482422,27.68000030517578,16.984434127807617,52.15306091308594,29.40920639038086,35.79999923706055
2022-02-03 00:00:00-05:00,297.0466613769531,23.1299991607666,60.36000061035156,26.950000762939453,16.375202178955078,51.77288055419922,28.752836227416992,34.52000045776367
2022-02-04 00:00:00-05:00,307.7733459472656,23.959999084472656,60.869998931884766,27.549999237060547,14.786253929138184,49.99870300292969,30.13414764404297,37.25
2022-02-07 00:00:00-05:00,302.4466552734375,23.989999771118164,58.36000061035156,26.969999313354492,14.72862434387207,49.43329620361328,30.41824722290039,36.86000061035156
2022-02-08 00:00:00-05:00,307.3333435058594,24.690000534057617,60.95000076293945,27.43000030517578,14.588664054870605,48.21476745605469,30.27130126953125,37.16999816894531
2022-02-09 00:00:00-05:00,310.6666564941406,26.100000381469727,64.52999877929688,28.829999923706055,15.107337951660156,49.44304275512695,31.172582626342773,40.72999954223633
2022-02-10 00:00:00-05:00,301.51666259765625,25.350000381469727,64.72000122070312,27.90999984741211,14.885051727294922,49.07261657714844,29.879438400268555,38.91999816894531
2022-02-11 00:00:00-05:00,286.6666564941406,24.100000381469727,58.849998474121094,25.84000015258789,14.448705673217773,47.60063552856445,28.65487289428711,37.27000045776367
2022-02-14 00:00:00-05:00,291.9200134277344,23.790000915527344,62.650001525878906,27.440000534057617,14.374612808227539,47.181461334228516,29.330833435058594,37.0099983215332
2022-02-15 00:00:00-05:00,307.4766540527344,25.790000915527344,66.29000091552734,28.8700008392334,14.885051727294922,48.41948699951172,30.85909080505371,40.060001373291016
2022-02-16 00:00:00-05:00,307.7966613769531,25.610000610351562,66.25,29.0,14.827421188354492,49.16035079956055,30.976652145385742,39.150001525878906
2022-02-17 00:00:00-05:00,292.1166687011719,24.719999313354492,64.73999786376953,28.110000610351562,14.440475463867188,47.590885162353516,31.544851303100586,39.36000061035156
2022-02-18 00:00:00-05:00,285.6600036621094,23.209999084472656,66.37000274658203,26.59000015258789,14.852118492126465,47.37641906738281,30.300689697265625,37.88999938964844
